X,Preciptiation,Temperature,Year,Month,Day,Date
1,0.095148084,3.132873535,2065,1,1,01/01/2065
2,0.506703138,4.092285156,2065,1,2,02/01/2065
3,0.351439462,5.446899414,2065,1,3,03/01/2065
4,0.127736845,3.335876465,2065,1,4,04/01/2065
5,0.29758963,5.083435059,2065,1,5,05/01/2065
6,0.12897368,5.778747559,2065,1,6,06/01/2065
7,0.371832239,5.959411621,2065,1,7,07/01/2065
8,0.318860936,6.234191895,2065,1,8,08/01/2065
9,0.119272888,4.42401123,2065,1,9,09/01/2065
10,0.34520753,5.42956543,2065,1,10,10/01/2065
11,0.015789744,3.405944824,2065,1,11,11/01/2065
12,0.009411248,4.273010254,2065,1,12,12/01/2065
13,0.026883121,6.072692871,2065,1,13,13/01/2065
14,0.004334106,6.446594238,2065,1,14,14/01/2065
15,0.604513897,7.615356445,2065,1,15,15/01/2065
16,0.236526693,8.468383789,2065,1,16,16/01/2065
17,0.021947237,7.41394043,2065,1,17,17/01/2065
18,0.006931564,5.837219238,2065,1,18,18/01/2065
19,0.202331514,5.116699219,2065,1,19,19/01/2065
20,1.548410242,4.528930664,2065,1,20,20/01/2065
21,3.228732361,3.995666504,2065,1,21,21/01/2065
22,0.470426366,1.222229004,2065,1,22,22/01/2065
23,0.919707154,2.33984375,2065,1,23,23/01/2065
24,0.431062329,3.477783203,2065,1,24,24/01/2065
25,0.052879993,3.037658691,2065,1,25,25/01/2065
26,0.057078722,1.848937988,2065,1,26,26/01/2065
27,0.787197438,4.602966309,2065,1,27,27/01/2065
28,0.213022271,8.296508789,2065,1,28,28/01/2065
29,0.087480352,9.45300293,2065,1,29,29/01/2065
30,1.269600115,6.079467773,2065,1,30,30/01/2065
31,0.09815613,2.967956543,2065,2,1,31/01/2065
32,0.354322928,3.166992188,2065,2,2,01/02/2065
33,0.699567783,7.327270508,2065,2,3,02/02/2065
34,4.561813606,6.097167969,2065,2,4,03/02/2065
35,5.003533827,4.233093262,2065,2,5,04/02/2065
36,4.687128507,3.35546875,2065,2,6,05/02/2065
37,2.793452586,5.98260498,2065,2,7,06/02/2065
38,3.35798508,9.009887695,2065,2,8,07/02/2065
39,3.56898933,11.57519531,2065,2,9,08/02/2065
40,7.119273394,7.607421875,2065,2,10,09/02/2065
41,1.258639572,4.791442871,2065,2,11,10/02/2065
42,0.407270913,4.34777832,2065,2,12,11/02/2065
43,0.478403921,4.730102539,2065,2,13,12/02/2065
44,2.587432688,8.509094238,2065,2,14,13/02/2065
45,3.785142477,9.157958984,2065,2,15,14/02/2065
46,11.10249711,9.272399902,2065,2,16,15/02/2065
47,4.394826922,7.517272949,2065,2,17,16/02/2065
48,0.264053858,5.506347656,2065,2,18,17/02/2065
49,0.1053369,5.44317627,2065,2,19,18/02/2065
50,0.073839713,5.96673584,2065,2,20,19/02/2065
51,1.56E-06,5.679626465,2065,2,21,20/02/2065
52,1.276028616,6.321777344,2065,2,22,21/02/2065
53,5.573334033,6.021240234,2065,2,23,22/02/2065
54,0.443531183,4.578613281,2065,2,24,23/02/2065
55,0.134288127,-0.297363281,2065,2,25,24/02/2065
56,0.04740171,1.198181152,2065,2,26,25/02/2065
57,30.17560579,2.343383789,2065,2,27,26/02/2065
58,7.826624089,4.500366211,2065,2,28,27/02/2065
59,27.04140181,5.520385742,2065,2,29,28/02/2065
60,3.162223531,6.304443359,2065,2,30,01/03/2065
61,0.333029384,5.963317871,2065,3,1,02/03/2065
62,0.013562125,7.029174805,2065,3,2,03/03/2065
63,10.31006025,8.595947266,2065,3,3,04/03/2065
64,0.071140247,9.84979248,2065,3,4,05/03/2065
65,0.189327646,9.86907959,2065,3,5,06/03/2065
66,0.666376782,10.91625977,2065,3,6,07/03/2065
67,0.175094762,12.35064697,2065,3,7,08/03/2065
68,0.002373882,13.52532959,2065,3,8,09/03/2065
69,0.241119439,12.99285889,2065,3,9,10/03/2065
70,0.198648021,12.49121094,2065,3,10,11/03/2065
71,9.048063727,10.15325928,2065,3,11,12/03/2065
72,0.215369741,8.789550781,2065,3,12,13/03/2065
73,6.828847993,9.545654297,2065,3,13,14/03/2065
74,4.351867991,8.61340332,2065,3,14,15/03/2065
75,0.535051154,7.695251465,2065,3,15,16/03/2065
76,4.925509833,6.932678223,2065,3,16,17/03/2065
77,2.448548377,6.905151367,2065,3,17,18/03/2065
78,0.155034251,7.881408691,2065,3,18,19/03/2065
79,0.064271721,8.632507324,2065,3,19,20/03/2065
80,0.119701779,8.473937988,2065,3,20,21/03/2065
81,0.003366281,6.733520508,2065,3,21,22/03/2065
82,0.300166338,8.375061035,2065,3,22,23/03/2065
83,18.2320639,9.256713867,2065,3,23,24/03/2065
84,0.618318892,6.365966797,2065,3,24,25/03/2065
85,6.788147776,5.895446777,2065,3,25,26/03/2065
86,0.275618939,5.36730957,2065,3,26,27/03/2065
87,0.247764526,5.39642334,2065,3,27,28/03/2065
88,0.11724964,5.281433105,2065,3,28,29/03/2065
89,0.386060507,5.644958496,2065,3,29,30/03/2065
90,0.055077777,7.103027344,2065,3,30,31/03/2065
91,1.262954183,7.775695801,2065,4,1,01/04/2065
92,0.16803145,10.08557129,2065,4,2,02/04/2065
93,0.02337565,11.43835449,2065,4,3,03/04/2065
94,0,14.49816895,2065,4,4,04/04/2065
95,0,16.6105957,2065,4,5,05/04/2065
96,0.098491687,14.07128906,2065,4,6,06/04/2065
97,0.172717962,11.92016602,2065,4,7,07/04/2065
98,0.318961931,13.0279541,2065,4,8,08/04/2065
99,0.22000492,13.41687012,2065,4,9,09/04/2065
100,0.040489842,15.02703857,2065,4,10,10/04/2065
101,0.145058447,17.84039307,2065,4,11,11/04/2065
102,0.012466513,16.3838501,2065,4,12,12/04/2065
103,0.00215016,14.05310059,2065,4,13,13/04/2065
104,1.063300707,13.71008301,2065,4,14,14/04/2065
105,1.627573179,14.08544922,2065,4,15,15/04/2065
106,0,15.45440674,2065,4,16,16/04/2065
107,0,17.08978271,2065,4,17,17/04/2065
108,0.089327628,15.25640869,2065,4,18,18/04/2065
109,0.129119073,13.29925537,2065,4,19,19/04/2065
110,20.39909223,12.09545898,2065,4,20,20/04/2065
111,3.699019051,12.7947998,2065,4,21,21/04/2065
112,0.167904444,14.01495361,2065,4,22,22/04/2065
